path, accountId, amount, toAccountId
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
TRANSFER, 5, 1000, 6
TRANSFER, 6, 1000, 3
TRANSFER, 4, 1000, 5
TRANSFER, 3, 1000, 4
